iter	Passed	Remaining
0	3	1868
1	7	1752
2	10	1731
3	13	1729
4	17	1737
5	21	1731
6	24	1712
7	27	1708
8	32	1749
9	35	1720
10	38	1710
11	41	1677
12	44	1680
13	48	1679
14	51	1670
15	55	1664
16	58	1659
17	62	1661
18	65	1662
19	68	1651
20	71	1642
21	75	1634
22	78	1637
23	82	1626
24	85	1621
25	88	1606
26	91	1606
27	95	1617
28	98	1606
29	101	1594
30	105	1593
31	109	1596
32	112	1598
33	116	1589
34	118	1579
35	121	1571
36	125	1568
37	128	1564
38	132	1564
39	135	1558
40	139	1558
41	142	1555
42	146	1552
43	149	1546
44	153	1548
45	157	1549
46	160	1546
47	163	1541
48	167	1537
49	170	1531
50	173	1530
51	177	1529
52	180	1526
53	184	1524
54	187	1518
55	191	1514
56	193	1505
57	197	1502
58	200	1497
59	204	1500
60	207	1494
61	211	1492
62	214	1486
63	217	1479
64	220	1478
65	224	1475
66	227	1468
67	231	1467
68	234	1463
69	238	1464
70	241	1457
71	244	1453
72	247	1449
73	251	1447
74	254	1444
75	258	1441
76	261	1437
77	265	1434
78	268	1431
79	272	1428
80	275	1423
81	278	1421
82	282	1418
83	286	1417
84	289	1413
85	292	1408
86	295	1403
87	299	1404
88	303	1401
89	306	1395
90	309	1391
91	313	1389
92	317	1387
93	320	1383
94	322	1376
95	325	1370
96	329	1368
97	332	1364
98	335	1360
99	339	1356
100	342	1352
101	346	1350
102	349	1347
103	352	1342
104	355	1338
105	358	1334
106	362	1331
107	366	1328
108	369	1324
109	372	1320
110	375	1316
111	379	1313
112	382	1309
113	385	1305
114	388	1301
115	391	1296
116	395	1294
117	398	1290
118	401	1286
119	405	1282
120	408	1280
121	412	1277
122	415	1274
123	419	1270
124	422	1266
125	426	1264
126	429	1260
127	432	1256
128	435	1252
129	438	1248
130	442	1247
131	446	1245
132	450	1242
133	453	1238
134	456	1235
135	460	1233
136	464	1230
137	467	1226
138	470	1222
139	474	1219
140	477	1214
141	480	1210
142	483	1206
143	486	1202
144	490	1199
145	493	1195
146	496	1191
147	498	1186
148	501	1182
149	505	1179
150	508	1176
151	511	1171
152	513	1165
153	516	1160
154	520	1157
155	523	1154
