City,City_Zone,Locality,Min_Price_per_sqft,Max_Price_per_sqft,Rating,Properties_For_Sale,Gov_Approval_Authority,Latitude_Longitude,PIN_Code,Exact_Address,Carpet_Area_sqft,Built_up_Area_sqft,Plot_Area_sqft,BHK,Property_Age_Years,Floor_Total_Floors,Parking,Lift,Facing,Ready_Reckoner_Rate_INR,Actual_Transaction_Price_INR,Registration_Date,Rental_Price_INR,Builder,RERA_ID,Nearby_Schools_Hospitals,Metro_Highway_Distance_km
Nagpur,South,Wardha Road,2500,4500,4.2,1200,NMRDA,21.0833_79.0667,440015,Flat 402 Shivam Heights Wardha Road,1150,1450,0,3,2,4/10,1 Covered,2,East,4500000,5075000,2026-05-12,25000,Shivam Developers,P50500012345,3 Schools / 2 Hospitals,1.2
Nagpur,South,Manish Nagar,3500,6500,4.4,850,NMRDA,21.1000_79.0660,440015,Flat 101 Radha Enclave Manish Nagar,850,1100,0,2,5,1/6,1 Covered,1,North,4800000,5500000,2026-02-18,20000,Radha Builders,NA,4 Schools / 3 Hospitals,0.8
Nagpur,South,Besa,2800,5200,4.1,950,NMRDA / RCUDA,21.0955_79.1022,440037,Plot 15 Revati Nagar Besa,0,0,1500,0,0,0/0,0,0,North,5000000,6000000,2026-06-20,0,NA,NA,2 Schools / 1 Hospital,2.5
Nagpur,South,Mihan,2500,4800,4.3,600,NMRDA,21.0331_79.0234,441108,Apt 705 Godrej Anandam Mihan,850,1100,0,2,1,7/15,1 Covered,3,East,3500000,4015000,2026-07-05,18000,Godrej Properties,P50500088990,1 School / 1 Hospital,0.5
Nagpur,West,Dabha,2800,4800,3.9,500,NMRDA,21.1667_78.9833,440023,Row House 3 Akanshi Society Dabha,1800,2200,1200,4,5,G+1/2,2 Open,0,West,7500000,8360000,2025-11-10,35000,Akanshi Builders,NA,4 Schools / 2 Hospitals,3.0
Nagpur,West,Katol Road,3000,6000,4.0,450,NMRDA,21.1834_79.0500,440013,Flat 101 Friends Enclave Katol Rd,780,1050,0,2,8,1/5,1 Open,1,South,4000000,4725000,2026-01-15,15000,Friends Const,NA,5 Schools / 3 Hospitals,4.1
Nagpur,East,Wathoda,2000,4500,3.9,650,NMRDA,21.1356_79.1350,440009,Plot 44 Swami Samarth Nagar Wathoda,0,0,2000,0,0,0/0,0,0,East,5500000,6500000,2025-12-01,0,NA,NA,3 Schools / 2 Hospitals,1.8
Nagpur,North,Zingabai Takli,2500,4800,4.0,450,NMRDA,21.1980_79.0700,440030,Flat 304 Omkar Residency Zingabai Takli,950,1200,0,2,3,3/6,1 Covered,1,West,3800000,4380000,2026-04-10,16000,Omkar Builders,P50500033221,4 Schools / 1 Hospital,2.2
Nagpur,Central,Dharampeth,8000,15000,4.8,200,NMRDA,21.1400_79.0600,440010,Apt 502 Sudarshan Tower Dharampeth,1600,2000,0,3,10,5/8,2 Covered,2,North,20000000,23000000,2025-10-22,45000,Sudarshan Group,NA,6 Schools / 5 Hospitals,0.8
Pune,West,Baner,7500,12000,4.5,3200,PMC / PMRDA,18.5590_73.7868,411045,Apt 1204 Kalpataru Jade Baner,1350,1700,0,3,0,12/21,2 Covered,4,East,14500000,16575000,2026-08-01,55000,Kalpataru Ltd,P52100045678,6 Schools / 4 Hospitals,1.0
Pune,West,Balewadi,7000,11500,4.4,2800,PMC / PMRDA,18.5760_73.7700,411045,Flat 801 Marvel Cascada Balewadi,1100,1400,0,2,2,8/15,1 Covered,2,North,11500000,12950000,2026-03-10,38000,Marvel Realtors,P52100012399,4 Schools / 3 Hospitals,0.5
Pune,West,Hinjewadi,5500,8500,4.2,4500,PMRDA,18.6002_73.7366,411057,Flat 805 Kolte Patil Life Republic,720,950,0,2,2,8/20,1 Covered,2,West,6000000,6650000,2026-04-18,22000,Kolte Patil,P52100077889,3 Schools / 2 Hospitals,0.8
Pune,East,Kharadi,7500,11500,4.4,4100,PMC / PMRDA,18.5515_73.9348,411014,Flat 302 Panchshil Towers Kharadi,2100,2800,0,4,3,3/30,3 Covered,4,North,24000000,26600000,2026-03-22,85000,Panchshil Realty,P52100011223,4 Schools / 3 Hospitals,2.2
Pune,East,Hadapsar,6000,9500,4.2,3500,PMC / PMRDA,18.5167_73.9272,411028,Plot 45 Magarpatta City South,0,0,2500,0,0,0/0,0,0,East,17000000,19375000,2025-09-30,0,Magarpatta,NA,5 Schools / 3 Hospitals,1.5
Pune,East,Wagholi,4500,7000,4.0,3800,PMRDA,18.5808_73.9786,412207,Flat 201 Rohan Abhilasha Wagholi,450,600,0,1,4,2/11,1 Open,2,South,3000000,3450000,2026-02-14,12000,Rohan Builders,P52100033445,2 Schools / 1 Hospital,3.5
Pune,South,NIBM Road,6500,10500,4.4,2600,PMC / PMRDA,18.4680_73.9030,411048,Flat 604 Lodha Bella Vita NIBM,1250,1600,0,3,1,6/18,2 Covered,3,East,12000000,13600000,2026-02-10,40000,Lodha Group,P52100088552,5 Schools / 3 Hospitals,4.0
Pune,North,Pimpri,6500,10000,4.3,2500,PCMC / PMRDA,18.6298_73.7997,411018,Plot 22 MIDC Enclave Pimpri,0,0,3000,0,0,0/0,0,0,West,22000000,24750000,2025-07-25,0,NA,NA,3 Schools / 2 Hospitals,1.5
Mumbai,West,Andheri West,18000,45000,4.6,4500,BMC / MMRDA,19.1363_72.8277,400053,Apt 1502 Oberoi Springs Andheri,1450,1850,0,3,5,15/35,2 Covered,4,West,50000000,58275000,2026-07-10,120000,Oberoi Realty,P51800055667,8 Schools / 5 Hospitals,0.3
Mumbai,West,Bandra West,35000,85000,4.8,2200,BMC / MMRDA,19.0596_72.8295,400050,Apt 902 Rustomjee Paramount Bandra,1600,2100,0,3,2,9/18,2 Covered,3,South,110000000,126000000,2026-06-15,150000,Rustomjee,P51800066778,7 Schools / 6 Hospitals,1.0
Mumbai,West,Borivali West,16000,30000,4.5,3200,BMC / MMRDA,19.2290_72.8475,400092,Flat 604 Ajmera Pristine Borivali,850,1150,0,2,1,6/22,1 Covered,3,East,24000000,26450000,2026-05-25,50000,Ajmera Group,P51800099001,6 Schools / 4 Hospitals,0.8
Mumbai,East,Powai,18000,35000,4.7,3100,BMC / MMRDA,19.1183_72.9061,400076,Flat 2201 Hiranandani Gardens Powai,2200,2900,0,4,8,22/30,3 Covered,5,North,70000000,76850000,2026-01-20,180000,Hiranandani,P51800022334,5 Schools / 3 Hospitals,1.5
Mumbai,East,Chembur,15000,30000,4.5,3800,BMC / MMRDA,19.0522_72.9005,400071,Flat 1102 Godrej Prime Chembur,900,1250,0,2,3,11/15,1 Covered,2,East,25000000,28125000,2025-08-30,60000,Godrej Properties,P51800011447,6 Schools / 4 Hospitals,0.5
Mumbai,North,Mira Road Area,8000,14000,4.1,5200,MBMC / RERA,19.2841_72.8700,401107,Flat 401 Lodha Aqua Mira Road,650,880,0,2,6,4/14,1 Open,2,East,8500000,9680000,2025-12-12,22000,Lodha Group,P51700044556,4 Schools / 3 Hospitals,2.0
Mumbai,South,Worli,30000,75000,4.8,1500,BMC / MMRDA,19.0160_72.8160,400018,Apt 4201 Lodha Park Worli,1800,2400,0,3,2,42/75,3 Covered,6,West,115000000,126000000,2025-12-05,250000,Lodha Group,P51900012121,5 Schools / 4 Hospitals,2.5
Nashik,West,Gangapur Road,4500,9500,4.6,850,NMC / NMRDA,20.0110_73.7431,422013,Flat 503 Samraat Tropicano,1200,1550,0,3,3,5/12,1 Covered,2,East,9500000,10850000,2026-07-28,25000,Samraat Group,P51600012121,4 Schools / 2 Hospitals,1.5
