City,City_Zone,Locality,Latitude_Longitude,Exact_Address,Property_Type,BHK,Carpet_Area_sqft,Built_up_Area_sqft,Plot_Area_sqft,Property_Age_Years,Floor_Total_Floors,Parking,Lift,Facing,Actual_Transaction_Price_INR,Rental_Price_INR,Builder,RERA_ID,Registration_Date,Metro_Highway_Distance_km,Nearby_Schools_Hospitals
Nashik,North,Panchvati,19.5935_76.5647,"Synthetic Address, Panchvati, Nashik",Apartment,2,1014,1318.2,0,2,19/28,2 Covered,1,South,7262173.434047533,20327.17847813815,Builder 43,P1618886689,2024-04-04,8.8,4 Schools / 1 Hospitals
Mumbai,South,Bandra,19.4226_74.4898,"Synthetic Address, Bandra, Mumbai",Apartment,1,543,705.9,0,18,34/39,0 Open,3,East,41755810.76339817,137742.89653524707,Builder 49,P5541131585,2026-02-16,0.7,3 Schools / 2 Hospitals
Nagpur,South,Wardha Road,19.6310_74.7702,"Synthetic Address, Wardha Road, Nagpur",Apartment,3,1635,2125.5,0,16,5/15,2 Covered,3,North-West,8710616.283467492,24589.24868866566,Builder 25,P1387883261,2026-02-27,2.4,4 Schools / 4 Hospitals
Nashik,East,Indira Nagar,20.5664_73.3496,"Synthetic Address, Indira Nagar, Nashik",Apartment,1,449,583.7,0,17,2/5,2 Open,3,East,5362224.734797971,15744.864399634547,Builder 10,P1431955380,2025-07-10,9.3,5 Schools / 3 Hospitals
Nashik,West,Indira Nagar,18.9468_77.6766,"Synthetic Address, Indira Nagar, Nashik",Apartment,3,1740,2262.0,0,0,27/32,3 Covered,4,South,21202545.4563664,63268.483827962824,Builder 30,P9577993670,2024-08-04,3.5,5 Schools / 5 Hospitals
Nashik,North,Pathardi Phata,18.4279_75.7296,"Synthetic Address, Pathardi Phata, Nashik",Apartment,4,1728,2246.4,0,4,8/32,2 Open,4,East,16192070.238687241,45974.01350553773,Builder 18,NA,2025-08-18,6.7,5 Schools / 4 Hospitals
Nagpur,East,Manish Nagar,21.9757_77.2311,"Synthetic Address, Manish Nagar, Nagpur",Apartment,1,555,721.5,0,20,1/3,2 Open,2,North,7737114.821801788,25191.141858513787,Builder 50,P1271534346,2024-11-06,6.5,3 Schools / 2 Hospitals
Nagpur,East,Mihan,18.1316_75.2810,"Synthetic Address, Mihan, Nagpur",Apartment,1,484,629.2,0,4,21/24,3 Covered,4,West,3151503.9707402326,10340.721778380159,Builder 11,P8177825278,2025-02-07,5.4,5 Schools / 5 Hospitals
Nagpur,North,Dabha,18.5250_76.8805,"Synthetic Address, Dabha, Nagpur",Apartment,2,892,1159.6000000000001,0,5,10/30,1 Covered,3,South,13028477.039715374,35786.111317130955,Builder 41,P3300233401,2024-02-01,7.2,1 Schools / 3 Hospitals
Nashik,South,Indira Nagar,19.9364_74.5533,"Synthetic Address, Indira Nagar, Nashik",Apartment,2,944,1227.2,0,13,10/24,3 Covered,2,West,4466627.740843271,14794.318736094365,Builder 33,P5039027461,2024-11-01,3.3,1 Schools / 5 Hospitals
Nagpur,West,Dabha,20.3536_78.5180,"Synthetic Address, Dabha, Nagpur",Apartment,2,816,1060.8,0,9,4/21,0 Open,1,North-East,9504308.097198311,30811.328053949066,Builder 24,P7141108399,2025-03-28,2.0,4 Schools / 1 Hospitals
Pune,West,Kharadi,21.7990_77.5723,"Synthetic Address, Kharadi, Pune",Apartment,2,980,1274.0,0,8,13/38,2 Open,2,West,8200134.503054349,18663.884009913167,Builder 45,P6960420281,2025-02-17,2.4,4 Schools / 3 Hospitals
Nashik,East,Indira Nagar,18.0106_78.9033,"Synthetic Address, Indira Nagar, Nashik",Apartment,1,548,712.4,0,9,2/4,2 Open,2,West,4087631.810875504,8421.211096260571,Builder 29,NA,2026-02-10,7.5,1 Schools / 1 Hospitals
Nashik,West,Pathardi Phata,21.3440_79.4846,"Synthetic Address, Pathardi Phata, Nashik",Apartment,3,1626,2113.8,0,1,13/13,1 Open,1,North,19602331.479671363,55815.330519545416,Builder 26,P9723381931,2026-01-29,2.8,2 Schools / 2 Hospitals
